400 800
1 21 0.36166504395867854
1 381 0.3563486862971304
1 2 -1.2222278866241236
1 20 -0.5267702848393777
21 41 0.09717719509348609
21 22 -0.6287107679196708
21 40 -2.5006996970862914
381 361 -1.0857592456808052
381 382 -0.6571169225692886
381 400 0.569213393074731
2 22 -1.5635568312947967
2 382 -0.2797893355305108
2 3 1.713154649328992
20 19 0.8200549901360887
20 40 0.772824125682124
20 400 -1.6775313475124014
22 42 0.5909537278196788
22 23 -1.4739369936781572
382 362 -0.7980720402638474
382 383 0.012633857643496796
3 23 1.8411872147180297
3 383 0.05857358987639907
3 4 0.24841978483077604
23 43 0.4026600337761235
23 24 0.37107833074523183
383 363 0.027514969494221084
383 384 -0.5150719857219715
4 24 2.3564716349438957
4 384 1.8815651712655685
4 5 -1.1164275716757646
24 44 0.16415020764947807
24 25 0.5956793430395989
384 364 -0.2598215751026223
384 385 0.339723892710912
5 25 -0.5446353694018754
5 385 1.818391833880355
5 6 -3.020621555947981
25 45 -0.21123821620320435
25 26 -0.537373223003346
385 365 0.05291927471703372
385 386 -0.17259138071895083
6 26 1.4754513376239071
6 386 0.34306398257005843
6 7 -0.8773077121824797
26 46 -1.9249391024325537
26 27 0.6880419302280856
386 366 0.7444457310974641
386 387 1.8171321721320297
7 27 -0.28466349671888197
7 387 0.33860721565531615
7 8 -0.7086487017258122
27 47 -2.053441751101614
27 28 0.8326871691752011
387 367 1.4343732779366771
387 388 0.10513884966135005
8 28 -0.504923427066035
8 388 0.5899928442098982
8 9 1.623567421843132
28 48 -1.4346749205344156
28 29 -0.0649257221664547
388 368 -0.19342903442968493
388 389 0.12475550318815
9 29 0.9107986849825505
9 389 -0.3481826802447223
9 10 0.17303344320381112
29 49 -0.27243579240044913
29 30 1.7442740553269336
389 369 0.9905112774023682
389 390 0.544592043456088
10 30 0.24221010713431004
10 390 1.2120483241613336
10 11 1.0512318823685114
30 50 -0.07670213103245399
30 31 1.4020463689585687
390 370 1.987444375884129
390 391 -1.8247959168646692
11 31 2.018201778029509
11 391 0.324709339786729
11 12 0.6409268642128818
31 51 -1.6108415810784924
31 32 -1.0924262273013063
391 371 -0.48210937809227056
391 392 -1.0175855214996872
12 32 -0.7068768561398261
12 392 0.6964388957202571
12 13 -1.394494837762908
32 52 -1.9455504398353396
32 33 -0.6233635756035643
392 372 0.6540564327171724
392 393 -1.7035781391902307
13 33 2.5769457694335367
13 393 1.2631141742920156
13 14 1.4477757232897341
33 53 0.7414860274986742
33 34 -0.9312038253561019
393 373 1.2154530327666173
393 394 -0.217206726706286
14 34 1.4161268182788092
14 394 -1.2482188413214563
14 15 -1.7351894420076839
34 54 2.016306139001644
34 35 -1.0169411882038484
394 374 -0.3345020069733385
394 395 0.5920926532115173
15 35 -0.1046486767806384
15 395 0.3766099231118172
15 16 -0.955467631090993
35 55 -0.3914021839005319
35 36 1.168320405238338
395 375 -0.8920516045688652
395 396 -0.3907520140233673
16 36 -0.4373152368122365
16 396 0.8434833551210745
16 17 2.6223790088753445
36 56 0.2427948508131082
36 37 1.3030950850288874
396 376 -0.5258203214545013
396 397 -0.6272539370763904
17 37 -1.6140676108657108
17 397 -0.9469933821473747
17 18 1.1564783857788548
37 57 0.11287203678577115
37 38 1.2511521940680583
397 377 -0.006506941708013709
397 398 0.6831644120171575
18 38 -1.3211746363464554
18 398 2.047357835792732
18 19 0.019151388901503027
38 58 0.7658267746629869
38 39 -1.1548722812867884
398 378 2.0174971105302615
398 399 1.5122226682573052
19 39 -1.30476098696665
19 399 1.7506468555461612
39 59 -0.2684296609097976
