64 63
1 2 0.417022004702574
2 3 0.7203244934421581
3 4 0.00011437481734488664
4 5 0.30233257263183977
5 6 0.14675589081711304
6 7 0.0923385947687978
7 8 0.1862602113776709
8 9 0.34556072704304774
9 10 0.39676747423066994
10 11 0.538816734003357
11 12 0.4191945144032948
12 13 0.6852195003967595
13 14 0.20445224973151743
14 15 0.8781174363909454
15 16 0.027387593197926163
16 17 0.6704675101784022
17 18 0.41730480236712697
18 19 0.5586898284457517
19 20 0.14038693859523377
20 21 0.1981014890848788
21 22 0.8007445686755367
22 23 0.9682615757193975
23 24 0.31342417815924284
24 25 0.6923226156693141
25 26 0.8763891522960383
26 27 0.8946066635038473
27 28 0.08504421136977791
28 29 0.03905478323288236
29 30 0.1698304195645689
30 31 0.8781425034294131
31 32 0.0983468338330501
32 33 0.42110762500505217
33 34 0.9578895301505019
34 35 0.5331652849730171
35 36 0.6918771139504734
36 37 0.31551563100606295
37 38 0.6865009276815837
38 39 0.8346256718973729
39 40 0.018288277344191806
40 41 0.7501443149449675
41 42 0.9888610889064947
42 43 0.7481656543798394
43 44 0.2804439920644052
44 45 0.7892793284514885
45 46 0.10322600657764203
46 47 0.44789352617590517
47 48 0.9085955030930956
48 49 0.2936141483736795
49 50 0.28777533858634874
50 51 0.13002857211827767
51 52 0.019366957870297075
52 53 0.678835532939891
53 54 0.21162811600005904
54 55 0.2655466593722262
55 56 0.4915731592803383
56 57 0.053362545117080384
57 58 0.5741176054920131
58 59 0.14672857490581015
59 60 0.5893055369032842
60 61 0.6997583600209312
61 62 0.10233442882782584
62 63 0.4140559878195683
63 64 0.6944001577277451
