216 648
1 37 -0.26924425033301397
1 181 0.7821464107123518
1 7 -0.7353487665469527
1 31 0.534225292481621
1 2 0.4754675905119279
1 6 -0.39487277713113916
37 73 -0.820074916718476
37 43 0.8993978523306492
37 67 -0.6002305765416012
37 38 1.8524180829492154
37 42 0.07450161253322207
181 145 -2.10866417612745
181 187 1.8820122893413145
181 211 0.7006453173918068
181 182 -1.1971044015084362
181 186 0.11173501458249192
7 43 -1.4867008333595846
7 187 -1.850997022135772
7 13 0.6303053355740154
7 8 -0.36946111065556364
7 12 0.41359525924484036
31 25 -1.2782624079182157
31 67 0.14582066148767825
31 211 0.6959021232304122
31 32 -1.0577403916531638
31 36 0.4803408414710081
2 38 -1.301037604438254
2 182 -2.2486717034647743
2 8 -0.6479534256558859
2 32 1.4082648911777351
2 3 0.2779504113555662
6 5 1.2708550034696309
6 42 -0.9874350353017479
6 186 -0.06893990998102609
6 12 -1.380526799274461
6 36 1.225251311470974
38 74 0.19909701647446654
38 44 -0.35286580543033136
38 68 0.2098082373669564
38 39 0.08874406611829552
182 146 -0.8906543682885634
182 188 1.1932493087567788
182 212 0.6298893585423063
182 183 -0.09064017821217035
8 44 -0.3627036604288408
8 188 -0.7941439899415197
8 14 0.8512502469378568
8 9 -0.1987422120623234
32 26 0.3777725805531208
32 68 -0.27904113683925735
32 212 1.3812577221732056
32 33 -1.6467311761669823
3 39 -0.5212747354109705
3 183 0.686325855388426
3 9 0.08793319439240097
3 33 -1.0139534707350149
3 4 0.4216867820922954
39 75 0.1386872925323523
39 45 -1.1357439387026982
39 69 -0.48092047631387297
39 40 0.626983704476632
183 147 -1.2838069748523986
183 189 1.1028461971764403
183 213 -1.4555994286295324
183 184 0.8078126772514035
9 45 -1.1115867744742707
9 189 -1.187214121665602
9 15 -0.4566320052841759
9 10 1.7304314868154833
33 27 1.1674891578775022
33 69 -1.0311439827954514
33 213 -2.9632088901393963
33 34 -0.3913877820325774
4 40 2.8315683180663855
4 184 1.5313193860645233
4 10 0.7725876425753795
4 34 -1.2601397901397648
4 5 0.28554632699122384
40 76 -0.6158604148790606
40 46 -0.8228479986877115
40 70 -0.384536306426103
40 41 0.9804592492111837
184 148 2.066024858561774
184 190 -0.2797990072935064
184 214 1.6704737539795937
184 185 0.5782677037880618
10 46 0.437400860113419
10 190 -0.651784600175575
10 16 0.4004319050837501
10 11 -1.2683434835112217
34 28 -0.6000976498581493
34 70 0.967681189161882
34 214 -0.42490062566382414
34 35 0.8478743315087709
5 41 -0.3518735953476231
5 185 0.1621967319591748
5 11 -0.24694266589487468
5 35 -0.7100894981868552
41 77 -0.579688484795352
41 47 -0.9187531694136244
41 71 1.2452313571207698
41 42 -1.0871176545918186
185 149 -0.9737397013230603
185 191 -0.62125391829438
185 215 -0.7031115295460351
185 186 1.116310851738999
11 47 0.42996257115183256
11 191 -0.3926090092946672
11 17 -0.3731346994765687
11 12 -1.5232217025129924
35 29 0.1647081762618096
35 71 -1.3525854347656796
35 215 0.1160309846753251
35 36 -0.18783354249513734
42 78 0.3489303200480746
42 48 -2.440723157407051
42 72 -0.20755271253821622
186 150 -1.1528627012634014
186 192 -1.208915125405106
186 216 0.0818466932823456
12 48 1.225832452581407
12 192 -0.1396387960153467
12 18 0.4220109021108843
36 30 -0.49609141949156965
36 72 0.16285777902195372
36 216 -0.5820753191697351
43 79 0.25221678986302815
43 49 0.09965523646801733
43 44 -1.5267554439844686
43 48 -0.25828890689705036
187 151 -0.23919589768732485
187 193 0.9118973807051013
187 188 0.7599556358556664
187 192 0.4039722121855561
13 49 -0.005742338925215464
13 193 1.315935149966661
13 19 -0.6683622437970642
13 14 -1.123453195016897
13 18 -0.2576186426244264
44 80 -1.8697696721757506
44 50 -0.14757487854794266
44 45 0.20369221991947387
188 152 -0.16932617899987543
188 194 0.4486940844486169
188 189 -1.0589925732367236
14 50 -0.6849284447000502
14 194 -0.5379838416282192
14 20 1.2250828436437446
14 15 -0.7601286303553171
45 81 -1.1323237934213108
45 51 0.14584117026837237
45 46 0.08388423701120903
189 153 -0.07538363995420276
189 195 -1.4759167225732615
189 190 0.3199159711871662
15 51 -0.03656227167526412
15 195 -0.3940468927306121
15 21 -0.10377300027002576
15 16 -0.23900671359022335
46 82 0.6277365978928511
46 52 -0.044568851791703265
46 47 -0.7894073990079895
190 154 -0.14103443581740455
190 196 -1.175856970386693
190 191 1.4767323908725754
16 52 -1.4877368584713708
16 196 1.5480309715788039
16 22 0.6738581344850751
16 17 -0.4374193834637507
47 83 0.020970938517017854
47 53 -0.38992203959326277
47 48 1.0451587418044688
191 155 0.3973333612611237
191 197 -0.12701551900517954
191 192 0.8492654349538776
17 53 0.8317962104053116
17 197 -1.2384246796136409
17 23 -0.7196462475759795
17 18 -0.25075622220271176
48 84 1.9906447828877216
48 54 -0.13484065964706604
192 156 -0.5217669049650999
192 198 -0.896587761589595
18 54 1.1358297509542852
18 198 0.8985189962403984
18 24 2.2603482033789573
49 85 1.4271675586428336
49 55 -0.2513538235263471
49 50 -0.036973197580703776
49 54 0.6842463553011803
193 157 0.7899287233054334
193 199 1.5200744304476712
193 194 0.19092858592298073
193 198 1.3620771935355593
19 55 0.5675653174377442
19 199 1.1854995228306222
19 25 0.9070632090749112
19 20 -0.5411360471050172
19 24 -0.5887409240340585
50 86 -0.9850690226576695
50 56 -0.1728808751225974
50 51 -0.3025116363285889
194 158 -0.302521646381381
194 200 -0.7511158612568366
194 195 0.373941229604937
20 56 0.20410530084885675
20 200 1.1224138410571127
20 26 1.9631946317714846
20 21 -0.4779258928181671
51 87 -1.2791820052968492
51 57 0.47885181201715094
51 52 -0.4420151148049252
195 159 0.735229245244643
195 201 0.509847124870974
195 196 0.9814980398823444
21 57 1.5264144014459504
21 201 -1.1176487222772309
21 27 -0.8589764917305321
21 22 0.8112594054746417
52 88 0.6607045151400236
52 58 -0.5867616002678867
52 53 0.49384326641342036
196 160 -0.934788954246657
196 202 0.8147710947931545
196 197 -1.4201394984954863
22 58 -1.3634371947736716
22 202 -0.5043276889231463
22 28 0.47262198548709805
22 23 0.1820622520474097
53 89 1.2831911902695243
53 59 -0.09047182006858126
53 54 0.3301547435621187
197 161 -0.04713268100458584
197 203 0.7477911824383396
197 198 0.1692244404912765
23 59 -0.004559093344350775
23 203 0.11159968366471261
23 29 -1.3260282298013253
23 24 -0.37010038295879544
54 90 -0.9901182786491096
54 60 0.5386533865359846
198 162 -0.6564375695407662
198 204 0.849656546832061
24 60 -1.2128651679872033
24 204 -0.9721194820556734
24 30 -0.4285752832855847
55 91 -0.9629321179656587
55 61 -0.8214483536664521
55 56 -0.1543480350091821
55 60 -0.1092039235635764
199 163 0.45614152817909775
199 205 -0.7279602060754948
199 200 0.6671408124683514
199 204 -1.0487815356303776
25 61 -0.8490653805269166
25 205 -0.1710481490292655
25 26 1.4865754327863034
25 30 0.9610555058979198
56 92 1.427970625709377
56 62 0.1235498411444838
56 57 -0.08393109572318547
200 164 -0.19825677328305283
